Feature,Beta,CI,p-value,FDR,Annotation 1,Annotation 2
ENZRXNTW3.536,0.00021,"(-0.00068,0.0011)",0.6488,0.847,"DNA-directed RNA polymerase, beta subunit",a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate
ENZRXNTW7.532,0.00021,"(-0.00068,0.0011)",0.6488,0.847,"DNA-directed RNA polymerase, beta subunit",a nucleoside triphosphate + RNA(n)  <-->  RNA(n+1) + diphosphate
ENZRXN1375.1047,0.00011,"(-0.00035,0.00056)",0.6492,0.847,3-phosphoshikimate 1-carboxyvinyltransferase,shikimate 3-phosphate + phosphoenolpyruvate  <-->  5-enolpyruvyl-shikimate 3-phosphate + phosphate
ENZRXN1375.1096,-0.00014,"(-0.00076,0.00047)",0.6518,0.847,NAD+ synthetase,ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  <-->  L-glutamate + AMP + NAD+ + diphosphate + H+
ENZRXN1375.902,-0.00015,"(-0.00083,0.00053)",0.6678,0.864,"Uncharacterized Fe-S protein PflX, homolog of pyruvate formate lyase activating proteins",a [formate C acetyltransferase]-glycine + S-adenosyl-L-methionine + a reduced flavodoxin  <-->  a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone
ENZRXN1375.1417,0.0001,"(-0.00037,0.00057)",0.6753,0.867,UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + di-trans,octa-cis-undecaprenyl phosphate  <-->  undecaprenyldiphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UMP"
ENZRXN1375.533,-0.00014,"(-0.00079,0.00051)",0.6761,0.867,Small primase-like proteins (Toprim domain),5S rRNA precursor + 2 H2O  <-->  a mature 5S-rRNA + 2 an oligonucleotide
ENZRXN1375.936,0.00015,"(-0.00054,0.00084)",0.6787,0.867,diaminopimelate epimerase,"L,L-diaminopimelate  <-->  meso-diaminopimelate"
ENZRXN1375.1399,0.00016,"(-0.00058,0.0009)",0.6812,0.867,tRNA (guanine-N1)-methyltransferase,guanine9 in tRNA + S-adenosyl-L-methionine  <-->  N1-methylguanine9 in tRNA + S-adenosyl-L-homocysteine + H+
ENZRXN1375.1347,0.00013,"(-0.00049,0.00074)",0.6885,0.869,NA,NA
ENZRXN1375.182,-0.00016,"(-0.00098,0.00065)",0.6929,0.869,L-aminopeptidase/D-esterase,a peptide with an N-terminal D-amino acid + H2O  <-->  a peptide + a D-amino acid
ENZRXN1375.1339,0.0001,"(-0.00039,0.00059)",0.6963,0.869,NA,NA
ENZRXN1375.1060,-0.00022,"(-0.00132,0.00089)",0.7007,0.869,NA,NA
ENZRXN1375.1048,-0.00013,"(-0.00078,0.00053)",0.7026,0.869,Prephenate dehydrogenase,prephenate + NAD+  <-->  4-hydroxyphenylpyruvate + CO2 + NADH
ENZRXN1375.947,-0.00014,"(-0.00088,0.0006)",0.7047,0.869,dihydroorotase,(S)-dihydroorotate + H2O  <-->  N-carbamoyl-L-aspartate + H+
ENZRXN1375.1539,-0.00012,"(-0.00073,0.0005)",0.706,0.869,ATP-dependent DNA helicase PcrA,a supercoiled duplex DNA + ATP  <-->  a single stranded DNA + ADP + phosphate
ENZRXN1375.1362,0.00015,"(-0.00064,0.00095)",0.7066,0.869,Predicted phosphatase/phosphohexomutase,alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate
ENZRXN10TS.45,0.0001,"(-0.00043,0.00063)",0.712,0.869,6-phospho-beta-glucosidase BglA|6-phospho-beta-glucosidase BglA|6-phospho-beta-glucosidase BglA|6-phospho-beta-glucosidase BglA|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase|6-phospho-beta-glucosidase|beta-phosphoglucomutase,"arbutin-6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + benzene-1,4-diol|salicin 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + salicyl alcohol|methyl beta-D-glucoside 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + methanol|N-monoacetylchitobiose 6'-phosphate + H2O  <-->  N-acetyl-D-glucosamine 6-phosphate + D-glucosamine|beta-D-cellobiose 6'-phosphate + H2O  <-->  beta-D-glucose + beta-D-glucose 6-phosphate|arbutin-6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + benzene-1,4-diol|salicin 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + salicyl alcohol|methyl beta-D-glucoside 6-phosphate + H2O  <-->  beta-D-glucose 6-phosphate + methanol|N-monoacetylchitobiose 6'-phosphate + H2O  <-->  N-acetyl-D-glucosamine 6-phosphate + D-glucosamine|beta-D-glucose 1-phosphate  <-->  beta-D-glucose 6-phosphate"
ENZRXNMBK.946,0.0001,"(-0.00043,0.00063)",0.712,0.869,NA,NA
ENZRXN1375.1095,0.00007,"(-0.00032,0.00046)",0.7156,0.869,"Pseudouridylate synthases, 23S RNA-specific",a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA
ENZRXN1375.430,0.00018,"(-0.00082,0.00118)",0.7248,0.869,pyruvate formate-lyase 1-activating enzyme,a [formate C acetyltransferase]-glycine + S-adenosyl-L-methionine + a reduced flavodoxin  <-->  a [formate C acetyltransferase]-glycin -2-yl radical + 5'-deoxyadenosine + L-methionine + a flavodoxin semiquinone
ENZRXN1375.1044,0.00007,"(-0.00033,0.00047)",0.7259,0.869,chorismate synthase,5-enolpyruvyl-shikimate 3-phosphate  <-->  chorismate + phosphate
ENZRXNH1N.1389,-0.00025,"(-0.00162,0.00113)",0.7269,0.869,tRNA-specific 2-thiouridylase MnmA,a uridine34 in tRNA + a [TusE sulfur carrier protein]-S-sulfanylcysteine + ATP  <-->  a 2-thiouridine34 in tRNA + a [TusE sulfur carrier protein]-L-cysteine + AMP + diphosphate
ENZRXN1375.1523,-0.0001,"(-0.00063,0.00044)",0.7272,0.869,Mg chelatase-related protein,ATP + protoporphyrin IX + Mg2+ + H2O  <-->  Mg-protoporphyrin + ADP + phosphate + 3 H+
ENZRXN16RF.1025,0.00018,"(-0.00083,0.00119)",0.7297,0.869,<i>O</i>-succinylhomoserine(thiol)-lyase,L-cysteine + O-succinyl-L-homoserine  <-->  succinate + L-cystathionine + H+
ENZRXN1375.1151,-0.00008,"(-0.00054,0.00038)",0.7374,0.869,"DNA polymerase III catalytic subunit, DnaE type",a deoxyribonucleoside triphosphate + (deoxynucleotides)(n)  <-->  (deoxynucleotides)(n+1) + diphosphate
ENZRXN1375.1500,-0.00012,"(-0.00082,0.00058)",0.7378,0.869,Lysophospholipase,1-18:1-lysophosphatidylethanolamine + H2O  <-->  L-1-glycerophosphorylethanolamine + oleate + H+
ENZRXN1375.313,0.00011,"(-0.00055,0.00076)",0.7469,0.869,"Vitamin B12 dependent methionine synthase, activation domain.",L-homocysteine + 5-methyl-tetrahydrofolate  <-->  L-methionine + tetrahydrofolate
ENZRXN1375.331,-0.00021,"(-0.00146,0.00105)",0.7485,0.869,SOS-response transcriptional repressors (RecA-mediated autopeptidases),repressor LexA + H2O  <-->  cleaved repressor LexA
ENZRXNMFD.601,-0.0002,"(-0.00142,0.00102)",0.7495,0.869,argininosuccinate lyase,L-arginino-succinate  <-->  L-arginine + fumarate
ENZRXNMFG.560,-0.0002,"(-0.00142,0.00102)",0.7495,0.869,argininosuccinate lyase,L-arginino-succinate  <-->  L-arginine + fumarate
ENZRXNTRA.286,-0.0002,"(-0.00142,0.00102)",0.7495,0.869,"argininosuccinate lyase|sulfite reductase, subunit A|sulfite reductase, subunit A|sulfite reductase, subunit A|acetyl-CoA carboxylase, biotin carboxyl carrier protein|beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ|beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ|putative holo-[acyl-carrier-protein] synthase|inositol monophosphatase family protein|inositol monophosphatase family protein|alpha amylase, catalytic domain protein","canavaninosuccinate  <-->  L-canavanine + fumarate|adenosine 3',5'-bisphosphate + sulfite + an oxidized thioredoxin + 2 H+  <-->  phosphoadenosine-5'-phosphosulfate + a reduced thioredoxin|reduced riboflavin + NADP+  <-->  riboflavin + NADPH + 2 H+|hydrogen sulfide + 3 NADP+ + 3 H2O  <-->  sulfite + 3 NADPH + 5 H+|ATP + acetyl-CoA + bicarbonate  <-->  malonyl-CoA + ADP + phosphate + H+|a (3R,5Z)-3-hydroxy-dodec-5-enoyl-[acp]  <-->  a (3E,5Z)-dodeca-3,5-dienoyl-[acp] + H2O|a (3R)-3-hydroxyacyl-[acyl-carrier protein]  <-->  a trans-2-enoyl-[acyl-carrier protein] + H2O|an acyl-carrier protein + coenzyme A  <-->  adenosine 3',5'-bisphosphate + a holo-[acyl-carrier protein]|1D-myo-inositol 1-monophosphate + H2O  <-->  myo-inositol + phosphate|1D-myo-inositol 3-monophosphate + H2O  <-->  myo-inositol + phosphate|starch + H2O  <-->  maltose + glucose"
ENZRXN1375.874,0.00017,"(-0.00088,0.00121)",0.7532,0.869,NA,NA
ENZRXN1375.1167,-0.00024,"(-0.00173,0.00125)",0.7547,0.869,"Aerobic-type carbon monoxide dehydrogenase, small subunit CoxS/CutS homologs",carbon monoxide + an oxidized unknown electron acceptor + H2O  <-->  CO2 + an reduced unknown electron acceptor
ENZRXN1375.547,0.00009,"(-0.00047,0.00065)",0.7557,0.869,acetyl-CoA carboxylase carboxyltransferase subunit alpha,ATP + acetyl-CoA + hydrogen carbonate  <-->  malonyl-CoA + ADP + phosphate + H+
ENZRXN1375.1282,0.00007,"(-0.00038,0.00052)",0.757,0.869,"cobyrinic acid a,c-diamide synthase","hydrogenobyrinate + 2 L-glutamine + 2 ATP + 2 H2O  <-->  2 L-glutamate + hydrogenobyrinate a,c-diamide + 2 ADP + 2 phosphate + 2 H+"
ENZRXN1375.412,-0.00014,"(-0.00102,0.00074)",0.7573,0.869,UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,"undecaprenyldiphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UDP-N-acetyl-alpha-D-glucosamine  <-->  undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine + UDP + H+"
ENZRXN1375.725,0.00009,"(-0.0005,0.00068)",0.7622,0.872,NTP pyrophosphohydrolases including oxidative damage repair enzymes,ADP-D-ribose + H2O  <-->  AMP + D-ribofuranose 5-phosphate + 2 H+
ENZRXN1375.178,-0.00011,"(-0.0009,0.00067)",0.7759,0.884,cytidylate kinase,ATP + CMP  <-->  ADP + CDP
ENZRXN1375.1443,0.0001,"(-0.00058,0.00077)",0.7786,0.884,tRNA-dihydrouridine synthase,"a 5,6-dihydrouridine in tRNA + NADP+  <-->  a uridine in tRNA + NADPH + H+"
ENZRXN1375.1052,-0.00008,"(-0.00068,0.00051)",0.7818,0.885,Aspartate/tyrosine/aromatic aminotransferase,L-aspartate + 2-oxoglutarate  <-->  L-glutamate + oxaloacetate
ENZRXN1375.1283,0.00006,"(-0.00039,0.00051)",0.7865,0.887,"precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit/precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit",precorrin-7 + S-adenosyl-L-methionine  <-->  precorrin-8x + S-adenosyl-L-homocysteine + 2 H+
ENZRXNTSS.505,-0.00015,"(-0.00127,0.00097)",0.7935,0.892,3-phosphoshikimate 1-carboxyvinyltransferase,shikimate 3-phosphate + phosphoenolpyruvate  <-->  5-enolpyruvyl-shikimate 3-phosphate + phosphate
ENZRXN1375.1403,0.00006,"(-0.00042,0.00054)",0.8012,0.896,GTP cyclohydrolase subunit MoaC,"GTP + H2O  <-->  7,8-dihydroneopterin 2',3'-cyclic phosphate + formate + diphosphate + H+"
ENZRXN1375.1499,-0.00007,"(-0.00061,0.00047)",0.8022,0.896,Shikimate 5-dehydrogenase,shikimate + NADP+  <-->  3-dehydroshikimate + NADPH + H+
ENZRXNMLY.1582,-0.00006,"(-0.00055,0.00042)",0.8055,0.896,propionyl-CoA synthetase,propanoate + ATP + coenzyme A  <-->  propionyl-CoA + AMP + diphosphate
ENZRXN1375.7,-0.00008,"(-0.00071,0.00056)",0.8119,0.898,"L-serine ammonia-lyase|L-serine ammonia-lyase|UDP-galactose 4-epimerase|Galactose mutarotase and related enzymes|Galactose mutarotase and related enzymes|birA, biotin-[acetyl-CoA-carboxylase] ligase region|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|D-alanyl-D-alanine carboxypeptidase|NTP pyrophosphohydrolases including oxidative damage repair enzymes|DNA gyrase subunit A|DNA gyrase subunit B|ribonuclease P protein component, eubacterial|ribonuclease P protein component, eubacterial|seryl-tRNA synthetase|seryl-tRNA synthetase|haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED|Undecaprenyl-diphosphatase|Inorganic pyrophosphatase/exopolyphosphatase|pantothenate kinase, type III|butyryl-CoA dehydrogenase|butyryl-CoA dehydrogenase|butyryl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|3-hydroxyacyl-CoA dehydrogenase|muconate cycloisomerase","L-serine  <-->  pyruvate + ammonium|L-serine  <-->  2-aminoprop-2-enoate + H+ + H2O|UDP-alpha-D-glucose  <-->  UDP-alpha-D-galactose|beta-D-galactose  <-->  alpha-D-galactose|alpha-D-glucose  <-->  beta-D-glucose|a [biotin-carboxyl-carrier protein monomer] + biotin + ATP  <-->  AMP + a biotinylated [BCCP monomer] + diphosphate|2 a peptidoglycan dimer (E. faeciums) + 3 H2O  <-->  a peptidoglycan with D,D cross-link (E. faecium) + 4 D-alanine + di-trans,octa-cis-undecaprenyl diphosphate + H+|2 a peptidoglycan dimer (meso-diaminopimelate containing)  <-->  a peptidoglycan with D,D cross-links (meso-diaminopimelate containing) + D-alanine|2 a peptidoglycan dimer (S. aureus) + 3 H2O  <-->  a peptidoglycan with D,D cross-link (S. aureus) + 4 D-alanine + di-trans,octa-cis-undecaprenyl diphosphate + H+|a lipid II + H2O  <-->  a N-acetylglucosamine--N-acetylmuramyl-(tetrapeptide) pyrophosphoryl-undecaprenol + D-alanine|ADP-D-ribose + H2O  <-->  AMP + D-ribofuranose 5-phosphate + 2 H+|a double stranded DNA + ATP  <-->  a negatively supercoiled DNA + ADP + phosphate|a double stranded DNA + ATP  <-->  a negatively supercoiled DNA + ADP + phosphate|a tRNA precursor with a 5' extension + H2O  <-->  an uncharged tRNA + a single-stranded RNA|a tRNA precursor with a 5' extension and a short 3' extension + H2O  <-->  a tRNA precursor with a short 3' extension + a single-stranded RNA|a tRNAser + L-serine + ATP + H+  <-->  an L-seryl-[tRNAser] + AMP + diphosphate|tRNAsec + L-serine + ATP + H+  <-->  an L-seryl-[tRNAsec] + AMP + diphosphate|2-phosphoglycolate + H2O  <-->  glycolate + phosphate|di-trans,octa-cis-undecaprenyl diphosphate + H2O  <-->  di-trans,octa-cis-undecaprenyl phosphate + phosphate + H+|diphosphate + H2O  <-->  2 phosphate + H+|(R)-pantothenate + ATP  <-->  D-4'-phosphopantothenate + ADP + H+|butanoyl-CoA + an oxidized electron-transfer flavoprotein + H+  <-->  crotonyl-CoA + a reduced electron-transfer flavoprotein|a short-chain 2,3,4-saturated fatty acyl CoA + an oxidized electron-transfer flavoprotein  <-->  a short-chain trans-2,3-dehydroacyl-CoA + a reduced electron-transfer flavoprotein|butanoyl-CoA + FAD + H+  <-->  crotonyl-CoA + FADH2|(S)-3-hydroxyoctanoyl-CoA + NAD+  <-->  3-oxooctanoyl-CoA + NADH + H+|3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-hydroxypropanoyl-CoA + NAD+  <-->  3-[(3aS,4S,5R,7aS)-5-hydroxy-7a-methyl-1-oxo-octahydro-1H-inden-4-yl]-3-oxopropanoyl-CoA + NADH + H+|24-hydroxy-3-oxocholest-4-en-26-oyl-CoA + NAD+  <-->  3,24-dioxocholest-4-en-26-oyl-CoA + NADH + H+|3-hydroxyadipyl-CoA + NAD+  <-->  3-oxoadipyl-CoA + NADH + H+|(S)-3-hydroxyhexanoyl-CoA + NAD+  <-->  3-oxohexanoyl-CoA + NADH + H+|(S)-3-hydroxydecanoyl-CoA + NAD+  <-->  3-oxodecanoyl-CoA + NADH + H+|(S)-3-hydroxybutanoyl-CoA + NAD+  <-->  acetoacetyl-CoA + NADH + H+|3-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA + NAD+  <-->  4-hydroxybenzoyl-acetyl-CoA + NADH + H+|OPC4-3-hydroxyacyl-CoA + NAD+  <-->  OPC4-3-ketoacyl-CoA + NADH + H+|OPC6-3-hydroxyacyl-CoA + NAD+  <-->  OPC6-3-ketoacyl-CoA + NADH + H+|OPC8-3-hydroxyacyl-CoA + NAD+  <-->  OPC8-3-ketoacyl-CoA + NADH + H+|a (3S)-3-hydroxyacyl-CoA + NAD+  <-->  a 3-oxoacyl-CoA + NADH + H+|muconolactone  <-->  cis,cis-muconate + H+"
ENZRXN1375.917,0.00016,"(-0.00114,0.00145)",0.8123,0.898,hypoxanthine phosphoribosyltransferase,GMP + diphosphate  <-->  guanine + 5-phospho-alpha-D-ribose 1-diphosphate
ENZRXN136I.291,0.00008,"(-0.00061,0.00077)",0.8216,0.902,excinuclease ABC subunit A,DNA with lesion + H2O  <-->  DNA without lesion
ENZRXN1375.876,-0.00013,"(-0.0013,0.00103)",0.8219,0.902,ketopantoate reductase,(R)-pantoate + NADP+  <-->  2-dehydropantoate + NADPH + H+
ENZRXN1375.1299,0.00006,"(-0.00051,0.00063)",0.8355,0.912,MiaB-like tRNA modifying enzyme,an n-alkanal + NAD(P)+  <-->  an alk-2-enal + NAD(P)H + H+
ENZRXN1375.211,-0.00005,"(-0.00049,0.0004)",0.8366,0.912,glycerol 3-phosphate dehydrogenase (NAD(P)+),sn-glycerol 3-phosphate + NAD(P)+  <-->  dihydroxyacetone phosphate + NAD(P)H + H+
ENZRXN1375.1281,0.00004,"(-0.00039,0.00048)",0.8422,0.913,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,"beta-nicotinate D-ribonucleotide + 5,6-dimethylbenzimidazole  <-->  nicotinate + alpha-ribazole 5'-phosphate + H+"
ENZRXN1375.1155,-0.0001,"(-0.00111,0.00091)",0.8438,0.913,L-threonine synthase,O-phospho-L-homoserine + H2O  <-->  L-threonine + phosphate
ENZRXN1375.958,0.00006,"(-0.00057,0.0007)",0.8456,0.913,Adenylate kinase,AMP + ATP  <-->  2 ADP
ENZRXN1375.1161,-0.00012,"(-0.00132,0.00109)",0.8519,0.917,Predicted EndoIII-related endonuclease,a DNA containing an apurinic/apyrimidinic site  <-->  a 5'-phosphopolynucleotide + a 3'-terminal unsaturated sugar
ENZRXN1375.1425,-0.00005,"(-0.00057,0.00048)",0.8603,0.923,Endopolygalacturonase,"(1,4-alpha-D-galacturonosyl)(n+m) + H2O  <-->  (1,4-alpha-D-galacturonosyl)(m) + (1,4-alpha-D-galacturonosyl)(m)"
ENZRXN1375.418,-0.00004,"(-0.00053,0.00045)",0.8672,0.927,Beta-galactosidase/beta-glucuronidase,a beta-D-galactoside + H2O  <-->  a non galactosylated galactose acceptor + beta-D-galactose
ENZRXN1375.1021,0.00004,"(-0.00043,0.00051)",0.8776,0.93,4-alpha-glucanotransferase,maltotetraose + D-glucopyranose  <-->  maltotriose + maltose
ENZRXN1375.964,0.00006,"(-0.00067,0.00078)",0.878,0.93,uridine kinase,cytidine + GTP  <-->  CMP + GDP + H+
ENZRXN1375.1517,0.00009,"(-0.00109,0.00127)",0.8788,0.93,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase./Histidine kinase.",a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+
ENZRXN1375.1528,0.00007,"(-0.00095,0.00109)",0.8959,0.941,Acyl-ACP thioesterase,an acyl-[acyl-carrier protein] + H2O  <-->  a fatty acid + a holo-[acyl-carrier protein] + H+
ENZRXN1375.1382,-0.00002,"(-0.00036,0.00032)",0.9003,0.941,Excinuclease ATPase subunit,DNA with lesion + H2O  <-->  DNA without lesion
ENZRXN1375.1328,0.00005,"(-0.00071,0.0008)",0.9021,0.941,ribosomal small subunit pseudouridine synthase A,a uridine38-40 in tRNA  <-->  a pseudouridine38-40 in tRNA
ENZRXN1375.1163,-0.00007,"(-0.0012,0.00106)",0.9028,0.941,dTDP-4-dehydrorhamnose reductase,dTDP-beta-L-rhamnose + NADP+  <-->  dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+
ENZRXN1375.1075,-0.00003,"(-0.0005,0.00044)",0.9055,0.941,glutamine--fructose-6-phosphate transaminase,beta-D-fructofuranose 6-phosphate + L-glutamine  <-->  D-glucosamine 6-phosphate + L-glutamate
ENZRXN1375.1212,-0.00002,"(-0.00041,0.00036)",0.9075,0.941,"helicase, putative, RecD/TraA family",a double stranded DNA + n H2O  <-->  n a 5'-phosphooligonucleotide
ENZRXN1375.1320,-0.00004,"(-0.00081,0.00072)",0.9091,0.941,UDP-N-acetylglucosamine enolpyruvyl transferase,UDP-N-acetyl-alpha-D-glucosamine + phosphoenolpyruvate  <-->  UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate + phosphate
